dataset,split,index,document_id,visible_total,status,reviewer,notes
SROIE,train,33,X51005433522,,pending,,
CORD v2,train,35,,,pending,,
CORD v2,train,52,,,pending,,
CORD v2,train,113,,,pending,,
CORD v2,train,122,,,pending,,
CORD v2,train,338,,,pending,,
CORD v2,train,460,,,pending,,
CORD v2,train,468,,,pending,,
CORD v2,train,490,,,pending,,
CORD v2,train,500,,,pending,,
CORD v2,train,503,,,pending,,
CORD v2,train,507,,,pending,,
CORD v2,train,524,,,pending,,
CORD v2,train,555,,,pending,,
CORD v2,train,572,,,pending,,
CORD v2,train,670,,,pending,,
CORD v2,train,682,,,pending,,
CORD v2,train,683,,,pending,,
CORD v2,train,694,,,pending,,
CORD v2,train,695,,,pending,,
CORD v2,train,699,,,pending,,
CORD v2,train,783,,,pending,,
CORD v2,validation,29,,,pending,,
CORD v2,validation,49,,,pending,,
CORD v2,test,9,,,pending,,
CORD v2,test,37,,,pending,,
CORD v2,test,39,,,pending,,
CORD v2,test,57,,,pending,,
CORD v2,test,76,,,pending,,
